,OBJECTID,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,VULEOPCT,MINORPOP,MINORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D_PM25_2,D_OZONE_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_LDPNT_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_UST_2,D_PWDIS_2,P_VULEOPCT,P_MINORPCT,P_LWINCPCT,P_UNEMPPCT,P_LNGISPCT,P_LESHSPCT,P_UNDR5PCT,P_OVR64PCT,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_PM25_D2,P_OZONE_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_LDPNT_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_UST_D2,P_PWDIS_D2,B_VULEOPCT,B_MINORPCT,B_LWINCPCT,B_UNEMPPCT,B_LESHSPCT,B_LNGISPCT,B_UNDR5PCT,B_OVR64PCT,B_PM25,B_OZONE,B_DSLPM,B_CANCR,B_RESP,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_PM25_D2,B_OZONE_D2,B_DSLPM_D2,B_CANCR_D2,B_RESP_D2,B_PTRAF_D2,B_LDPNT_D2,B_PNPL_D2,B_PRMP_D2,B_PTSDF_D2,B_UST_D2,B_PWDIS_D2,T_VULEOPCT,T_MINORPCT,T_LWINCPCT,T_UNEMPPCT,T_LNGISPCT,T_LESHSPCT,T_UNDR5PCT,T_OVR64PCT,T_PM25,T_OZONE,T_DSLPM,T_CANCR,T_RESP,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_PM25_D2,T_OZONE_D2,T_DSLPM_D2,T_CANCR_D2,T_RESP_D2,T_PTRAF_D2,T_LDPNT_D2,T_PNPL_D2,T_PRMP_D2,T_PTSDF_D2,T_UST_D2,T_PWDIS_D2,EXCEED_COUNT_80,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,Shape_Length,Shape_Area,FIPS
65975,65976,42101000101,Pennsylvania,PA,Philadelphia,3,1879.0,1879.0,1708.0,1258.0,1319.0,1540.0,0.188664183076104,531.0,0.28259712613092,178.0,0.094731240021288,86.0,0.055844155844156,54.0,0.042925278219396,28.0,0.016393442622951,58.0,0.030867482703566,242.0,0.128791910590739,9.1997495890411,43.0485326797386,0.614320226369484,30.0,0.5,9255.037903400687,809.0,0.613343442001516,0.546183056505493,1.479634906709,9.05288120538358,86.7898960936,0.042392062524884,12.829164449175067,10.942522618414028,17.545769026077668,15.659127195316628,17.923097392229874,18.67775412453429,15.847791378392731,17.923097392229874,15.847791378392731,17.73443320915377,17.923097392229874,14.904470463012212,26.0,46.0,10.0,60.0,71.0,8.0,16.0,34.0,68.0,58.0,93.0,83.0,95.0,99.0,84.0,95.0,84.0,94.0,95.0,79.0,50.0,47.0,60.0,40.0,49.0,60.0,59.0,62.0,56.0,59.0,61.0,56.0,3.0,5.0,2.0,7.0,1.0,8.0,2.0,4.0,7.0,6.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,11.0,8.0,6.0,5.0,7.0,5.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,26 %ile,46 %ile,10 %ile,60 %ile,71 %ile,8 %ile,16 %ile,34 %ile,68 %ile,58 %ile,93 %ile,83 %ile,95 %ile,99 %ile,84 %ile,95 %ile,84 %ile,94 %ile,95 %ile,79 %ile,50 %ile,47 %ile,60 %ile,40 %ile,49 %ile,60 %ile,59 %ile,62 %ile,56 %ile,59 %ile,61 %ile,56 %ile,0.0,351883.0,0.0,0.0,0.0,3339.4204429494985,599487.2591109866,42101000101
65976,65977,42101000102,Pennsylvania,PA,Philadelphia,3,2988.0,2988.0,2549.0,1837.0,1967.0,2438.0,0.132697456492637,455.0,0.152275769745649,338.0,0.113119143239625,109.0,0.044708777686628,18.0,0.009798584648884,98.0,0.038446449588074,140.0,0.046854082998661,277.0,0.092704149933066,9.1997495890411,43.0485326797386,0.614320226369484,30.0,0.5,21175.967319903095,1490.0,0.757498729028978,0.499209332024589,1.07639779561364,8.6721408003818,86.2049969743,0.037063827262101,9.023427041499316,7.696452476572946,12.340863453815242,11.013888888888872,12.606258366800516,13.137048192771063,12.208165997322604,12.606258366800516,10.21770414993305,12.473560910307878,12.606258366800516,10.350401606425686,12.0,28.0,14.0,48.0,45.0,20.0,37.0,17.0,68.0,58.0,93.0,83.0,95.0,99.0,92.0,95.0,77.0,94.0,95.0,78.0,39.0,35.0,49.0,30.0,36.0,49.0,49.0,51.0,42.0,49.0,51.0,43.0,2.0,3.0,2.0,5.0,3.0,5.0,4.0,2.0,7.0,6.0,10.0,9.0,11.0,11.0,10.0,11.0,8.0,10.0,11.0,8.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,12 %ile,28 %ile,14 %ile,48 %ile,45 %ile,20 %ile,37 %ile,17 %ile,68 %ile,58 %ile,93 %ile,83 %ile,95 %ile,99 %ile,92 %ile,95 %ile,77 %ile,94 %ile,95 %ile,78 %ile,39 %ile,35 %ile,49 %ile,30 %ile,36 %ile,49 %ile,49 %ile,51 %ile,42 %ile,49 %ile,51 %ile,43 %ile,0.0,444406.0,0.0,0.0,0.0,3543.250120644913,757202.981031142,42101000102
65977,65978,42101000200,Pennsylvania,PA,Philadelphia,3,3175.0,3057.0,2526.0,1439.0,1564.0,2150.0,0.518904746818326,2379.0,0.749291338582677,882.0,0.288518155053974,82.0,0.038139534883721,161.0,0.111883252258512,552.0,0.218527315914489,39.0,0.012283464566929,298.0,0.093858267716535,9.2206098630137,43.0604117647059,0.608255754276508,30.0,0.5,11474.016275319,618.0,0.395140664961636,0.360245134737616,0.883421000518283,10.2309709216748,89.4288400448,112.183582937862,35.28552278364614,30.09647531546288,47.73923670728595,43.06909398592102,49.29595094774093,51.37156993501423,35.28552278364614,48.25814145410428,37.36114177091944,49.29595094774093,49.29595094774093,51.37156993501423,76.0,81.0,50.0,40.0,87.0,85.0,5.0,18.0,68.0,58.0,92.0,83.0,95.0,99.0,68.0,93.0,72.0,95.0,95.0,99.0,82.0,81.0,88.0,79.0,86.0,91.0,83.0,91.0,82.0,90.0,89.0,93.0,8.0,9.0,6.0,5.0,9.0,9.0,1.0,2.0,7.0,6.0,10.0,9.0,11.0,11.0,7.0,10.0,8.0,11.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,76 %ile,81 %ile,50 %ile,40 %ile,87 %ile,85 %ile,5 %ile,18 %ile,68 %ile,58 %ile,92 %ile,83 %ile,95 %ile,99 %ile,68 %ile,93 %ile,72 %ile,95 %ile,95 %ile,99 %ile,82 %ile,81 %ile,88 %ile,79 %ile,86 %ile,91 %ile,83 %ile,91 %ile,82 %ile,90 %ile,89 %ile,93 %ile,11.0,386232.0,0.0,0.0,0.0,3829.6811701422257,658091.2768145559,42101000200
65978,65979,42101000300,Pennsylvania,PA,Philadelphia,3,3586.0,3291.0,2924.0,2057.0,2243.0,2121.0,0.26854056839768,1513.0,0.42191857222532,379.0,0.115162564570039,71.0,0.033474776049033,64.0,0.031113271754983,90.0,0.03077975376197,95.0,0.02649191299498,923.0,0.257389849414389,9.24817424657534,43.054324836601296,0.589715163087231,30.0,0.4,12395.2317097124,938.0,0.418189924208649,0.17566697490402,0.537518001792369,9.346809486284387,60.70932061,2018.69153821636,18.52929921943989,15.575352967065411,24.70573229258652,22.2888671770074,21.751786040212043,26.585516271370278,18.797839787837567,22.2888671770074,16.11243410386077,25.511353997779555,24.9742728609842,26.585516271370278,44.0,60.0,14.0,34.0,64.0,16.0,12.0,89.0,69.0,58.0,92.0,83.0,81.0,99.0,70.0,83.0,60.0,95.0,93.0,99.0,62.0,60.0,70.0,53.0,56.0,71.0,65.0,69.0,56.0,71.0,70.0,77.0,5.0,7.0,2.0,4.0,2.0,7.0,2.0,9.0,7.0,6.0,10.0,9.0,9.0,11.0,8.0,9.0,7.0,11.0,10.0,11.0,7.0,7.0,8.0,6.0,6.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,44 %ile,60 %ile,14 %ile,34 %ile,64 %ile,16 %ile,12 %ile,89 %ile,69 %ile,58 %ile,92 %ile,83 %ile,81 %ile,99 %ile,70 %ile,83 %ile,60 %ile,95 %ile,93 %ile,99 %ile,62 %ile,60 %ile,70 %ile,53 %ile,56 %ile,71 %ile,65 %ile,69 %ile,56 %ile,71 %ile,70 %ile,77 %ile,0.0,546267.0,22673.0,0.0,0.0,5047.898287276438,969460.6417448882,42101000300
65979,65980,42101000401,Pennsylvania,PA,Philadelphia,3,2577.0,2556.0,2297.0,1735.0,2077.0,1695.0,0.353759603280008,1053.0,0.408614668218859,764.0,0.298904538341158,26.0,0.015339233038348,158.0,0.091066282420749,104.0,0.04527644754027,83.0,0.03220799379123,479.0,0.185875048506014,9.26862849315068,43.0350137254902,0.550245126477232,30.0,0.4,6486.551298714649,1067.0,0.513721714010592,0.174394911189306,0.889288938243009,10.1846099443499,42.969526056,1957.9937285661497,24.763172229600595,20.51805699024049,31.838364295200765,29.362047072240703,28.654527865680688,34.66844112144084,27.593249055840666,29.362047072240703,25.470691436160607,33.60716231160081,32.19212389848077,35.02220072472084,58.0,59.0,52.0,12.0,84.0,24.0,18.0,65.0,70.0,58.0,90.0,83.0,81.0,98.0,78.0,83.0,72.0,95.0,91.0,99.0,72.0,69.0,77.0,65.0,67.0,80.0,77.0,77.0,71.0,79.0,77.0,85.0,6.0,6.0,6.0,2.0,3.0,9.0,2.0,7.0,8.0,6.0,10.0,9.0,9.0,11.0,8.0,9.0,8.0,11.0,10.0,11.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,58 %ile,59 %ile,52 %ile,12 %ile,84 %ile,24 %ile,18 %ile,65 %ile,70 %ile,58 %ile,90 %ile,83 %ile,81 %ile,98 %ile,78 %ile,83 %ile,72 %ile,95 %ile,91 %ile,99 %ile,72 %ile,69 %ile,77 %ile,65 %ile,67 %ile,80 %ile,77 %ile,77 %ile,71 %ile,79 %ile,77 %ile,85 %ile,2.0,216838.0,15884.0,0.0,0.0,2723.306002541488,396519.9664749667,42101000401
65980,65981,42101000403,Pennsylvania,PA,Philadelphia,3,775.0,775.0,745.0,530.0,741.0,601.0,0.156129032258064,151.0,0.194838709677419,91.0,0.117419354838709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.061935483870968,9.24642246575342,43.0375633986928,0.579010758427629,30.0,0.4,5172.90975702066,172.0,0.232118758434547,0.201156857507178,1.01600765722805,10.054715884154,93.112923518,581.489615630539,10.772903225806417,9.055483870967713,14.207741935483826,12.958709677419312,12.646451612903183,15.14451612903221,8.118709677419329,13.427096774193505,11.7096774193548,14.83225806451608,14.83225806451608,15.456774193548338,18.0,35.0,14.0,0.0,0.0,0.0,0.0,7.0,69.0,58.0,91.0,83.0,81.0,97.0,52.0,86.0,75.0,95.0,95.0,99.0,45.0,40.0,53.0,34.0,36.0,53.0,35.0,53.0,46.0,54.0,55.0,57.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,10.0,9.0,9.0,11.0,6.0,9.0,8.0,11.0,11.0,11.0,5.0,5.0,6.0,4.0,4.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,18 %ile,35 %ile,14 %ile,0 %ile,0 %ile,0 %ile,0 %ile,7 %ile,69 %ile,58 %ile,91 %ile,83 %ile,81 %ile,97 %ile,52 %ile,86 %ile,75 %ile,95 %ile,95 %ile,99 %ile,45 %ile,40 %ile,53 %ile,34 %ile,36 %ile,53 %ile,35 %ile,53 %ile,46 %ile,54 %ile,55 %ile,57 %ile,0.0,139616.0,0.0,0.0,0.0,2469.204242961864,237872.65907064895,42101000403
65981,65982,42101000404,Pennsylvania,PA,Philadelphia,3,3383.0,3383.0,3234.0,2309.0,2698.0,2225.0,0.152970736033106,606.0,0.179130948861956,429.0,0.126810523204256,24.0,0.010786516853932,79.0,0.034213945430922,31.0,0.009585652442795,0.0,0.0,1071.0,0.316582914572864,9.24642246575342,43.0375633986928,0.579010758427629,30.0,0.4,4257.68463098211,589.0,0.218309859154929,0.183110197022687,0.858902158805088,9.35012994424378,67.0388211577,985.132621702147,10.554980786284316,8.872302689920149,13.920336979012648,12.6965710907478,12.390629618681588,14.838161395211284,7.6485368016553,12.849541826780904,10.860922258350527,14.532219923145073,14.379249187111965,15.144102867277496,17.0,32.0,16.0,8.0,66.0,4.0,0.0,95.0,69.0,58.0,91.0,83.0,81.0,97.0,50.0,84.0,71.0,95.0,94.0,99.0,44.0,39.0,53.0,33.0,36.0,52.0,33.0,52.0,44.0,53.0,54.0,57.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,11.0,7.0,6.0,10.0,9.0,9.0,11.0,6.0,9.0,8.0,11.0,10.0,11.0,5.0,4.0,6.0,4.0,4.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,17 %ile,32 %ile,16 %ile,8 %ile,66 %ile,4 %ile,0 %ile,95 %ile,69 %ile,58 %ile,91 %ile,83 %ile,81 %ile,97 %ile,50 %ile,84 %ile,71 %ile,95 %ile,94 %ile,99 %ile,44 %ile,39 %ile,53 %ile,33 %ile,36 %ile,52 %ile,33 %ile,52 %ile,44 %ile,53 %ile,54 %ile,57 %ile,0.0,164084.0,0.0,0.0,0.0,2116.2855969570505,279565.80633626174,42101000404
65982,65983,42101000500,Pennsylvania,PA,Philadelphia,3,2826.0,1650.0,2424.0,1015.0,1188.0,1143.0,0.521511291256514,1860.0,0.658174097664543,635.0,0.384848484848484,81.0,0.070866141732283,92.0,0.09064039408867,394.0,0.162541254125412,18.0,0.006369426751592,93.0,0.032908704883227,9.22459123287671,43.050577124183,0.600465771168551,30.0,0.4,3426.78074420081,714.0,0.601010101010101,0.436772967272495,1.33217460201164,13.2331712429612,74.0966682169,160.700109709645,35.98427909669943,30.247654892877783,47.97903879559925,43.28543717429062,42.2424145917776,49.54357266936879,43.28543717429062,49.02206137811226,42.76392588303411,50.58659525188181,49.02206137811226,51.62961783439484,77.0,76.0,67.0,72.0,84.0,74.0,3.0,3.0,69.0,58.0,92.0,83.0,81.0,95.0,83.0,94.0,82.0,97.0,94.0,99.0,82.0,81.0,88.0,79.0,82.0,90.0,88.0,91.0,86.0,90.0,89.0,94.0,8.0,8.0,7.0,8.0,8.0,9.0,1.0,1.0,7.0,6.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,77 %ile,76 %ile,67 %ile,72 %ile,84 %ile,74 %ile,3 %ile,3 %ile,69 %ile,58 %ile,92 %ile,83 %ile,81 %ile,95 %ile,83 %ile,94 %ile,82 %ile,97 %ile,94 %ile,99 %ile,82 %ile,81 %ile,88 %ile,79 %ile,82 %ile,90 %ile,88 %ile,91 %ile,86 %ile,90 %ile,89 %ile,94 %ile,11.0,428760.0,0.0,0.0,0.0,3999.276526326092,730493.3924811763,42101000500
65983,65984,42101000600,Pennsylvania,PA,Philadelphia,3,1312.0,1281.0,1145.0,868.0,1145.0,984.0,0.208356240836998,389.0,0.296493902439024,154.0,0.120218579234972,31.0,0.03150406504065,0.0,0.0,11.0,0.009606986899563,29.0,0.022103658536585,126.0,0.096036585365854,9.23367397260274,43.043491503268,0.557253221723304,30.0,0.4,2459.89999660026,833.0,0.727510917030567,0.460231951846909,1.60426049126741,16.401035373666,114.5078617,208.07578183108896,14.37658061775286,12.084661968545884,18.75206167532982,17.293567989470834,16.876855507796837,19.37713039784081,18.960417916166815,19.585486638677807,17.91863671198183,20.418911602025805,20.002199120351808,20.627267842862803,31.0,48.0,15.0,32.0,0.0,4.0,9.0,18.0,69.0,58.0,90.0,83.0,81.0,93.0,91.0,94.0,86.0,98.0,96.0,99.0,54.0,51.0,62.0,44.0,47.0,61.0,65.0,65.0,60.0,64.0,64.0,68.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,7.0,6.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,6.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,31 %ile,48 %ile,15 %ile,32 %ile,0 %ile,4 %ile,9 %ile,18 %ile,69 %ile,58 %ile,90 %ile,83 %ile,81 %ile,93 %ile,91 %ile,94 %ile,86 %ile,98 %ile,96 %ile,99 %ile,54 %ile,51 %ile,62 %ile,44 %ile,47 %ile,61 %ile,65 %ile,65 %ile,60 %ile,64 %ile,64 %ile,68 %ile,0.0,172652.0,0.0,0.0,1.0,3081.565489724041,294128.3255666319,42101000600
65984,65985,42101000701,Pennsylvania,PA,Philadelphia,3,1665.0,1649.0,1434.0,1276.0,1414.0,1232.0,0.257271947508454,366.0,0.219819819819819,486.0,0.294724075197089,16.0,0.012987012987013,41.0,0.032131661442006,36.0,0.02510460251046,16.0,0.00960960960961,204.0,0.122522522522522,9.264913150684928,43.036425490196095,0.54434323100205,30.0,0.4,2990.43027675078,824.0,0.582743988684582,0.210129588680245,1.26848095942821,10.1602006117123,99.6460446754,752.156695678823,18.00903632559178,14.921772955490331,23.154475275760856,21.353571643201683,20.839027748184773,24.44083501330313,21.09629969569323,22.125387485727043,20.839027748184773,24.44083501330313,24.698106960811582,25.469922803336942,42.0,38.0,51.0,10.0,65.0,12.0,4.0,31.0,70.0,58.0,90.0,83.0,81.0,95.0,82.0,86.0,81.0,95.0,96.0,99.0,61.0,58.0,68.0,52.0,55.0,68.0,69.0,69.0,65.0,69.0,70.0,75.0,5.0,4.0,6.0,2.0,2.0,7.0,1.0,4.0,8.0,6.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,42 %ile,38 %ile,51 %ile,10 %ile,65 %ile,12 %ile,4 %ile,31 %ile,70 %ile,58 %ile,90 %ile,83 %ile,81 %ile,95 %ile,82 %ile,86 %ile,81 %ile,95 %ile,96 %ile,99 %ile,61 %ile,58 %ile,68 %ile,52 %ile,55 %ile,68 %ile,69 %ile,69 %ile,65 %ile,69 %ile,70 %ile,75 %ile,0.0,140499.0,0.0,0.0,0.0,2586.5020956858048,239359.15443498487,42101000701
65985,65986,42101000702,Pennsylvania,PA,Philadelphia,3,2114.0,2114.0,1867.0,1483.0,1636.0,1617.0,0.377956480605486,1129.0,0.534058656575212,469.0,0.221854304635761,47.0,0.029066171923315,362.0,0.244099797707349,73.0,0.039100160685592,0.0,0.0,323.0,0.152790917691579,9.264913150684928,43.036425490196095,0.54434323100205,30.0,0.4,5886.92885742421,558.0,0.341075794621026,0.174996385745242,1.06702454516466,11.0009795569298,61.7945935303,3039.88646859807,26.45695364238405,21.92147587511821,34.016083254493786,31.370387890255376,30.614474929044405,37.03973509933768,24.18921475875113,31.370387890255376,29.10264900662246,36.2838221381267,35.52790917691573,37.41769157994316,62.0,69.0,36.0,28.0,95.0,21.0,0.0,47.0,70.0,58.0,90.0,83.0,81.0,98.0,64.0,83.0,77.0,96.0,94.0,99.0,74.0,71.0,79.0,68.0,70.0,82.0,73.0,79.0,75.0,81.0,80.0,86.0,7.0,7.0,4.0,3.0,3.0,11.0,1.0,5.0,8.0,6.0,10.0,9.0,9.0,11.0,7.0,9.0,8.0,11.0,10.0,11.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,62 %ile,69 %ile,36 %ile,28 %ile,95 %ile,21 %ile,0 %ile,47 %ile,70 %ile,58 %ile,90 %ile,83 %ile,81 %ile,98 %ile,64 %ile,83 %ile,77 %ile,96 %ile,94 %ile,99 %ile,74 %ile,71 %ile,79 %ile,68 %ile,70 %ile,82 %ile,73 %ile,79 %ile,75 %ile,81 %ile,80 %ile,86 %ile,2.0,106191.0,7087.0,0.0,0.0,2175.901929430243,192993.5798385364,42101000702
65986,65987,42101000801,Pennsylvania,PA,Philadelphia,3,1631.0,1600.0,1243.0,868.0,1041.0,1096.0,0.187673973022685,339.0,0.20784794604537,268.0,0.1675,0.0,0.0,9.0,0.01036866359447,11.0,0.008849557522124,108.0,0.066217044757817,105.0,0.064377682403433,9.2866904109589,43.0243666666667,0.53019852094143,30.0,0.4,5056.10265661408,680.0,0.653218059558117,0.17264714053453,1.21597818990904,10.3869622263651,70.9770648649,3065.0354540339695,13.137178111587952,10.88509043531573,16.702983599018967,15.576939760882857,15.201591814837489,18.204375383200446,16.13996167995091,15.389265787860172,15.013917841814802,17.829027437155077,17.64135346413239,18.579723329245816,26.0,37.0,25.0,0.0,45.0,4.0,65.0,8.0,70.0,58.0,89.0,83.0,81.0,97.0,86.0,82.0,80.0,95.0,94.0,99.0,51.0,47.0,58.0,40.0,43.0,59.0,60.0,58.0,54.0,60.0,60.0,64.0,3.0,4.0,3.0,1.0,1.0,5.0,7.0,1.0,8.0,6.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,11.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,26 %ile,37 %ile,25 %ile,0 %ile,45 %ile,4 %ile,65 %ile,8 %ile,70 %ile,58 %ile,89 %ile,83 %ile,81 %ile,97 %ile,86 %ile,82 %ile,80 %ile,95 %ile,94 %ile,99 %ile,51 %ile,47 %ile,58 %ile,40 %ile,43 %ile,59 %ile,60 %ile,58 %ile,54 %ile,60 %ile,60 %ile,64 %ile,0.0,99957.0,12755.0,0.0,0.0,1800.7165509527392,192019.9235962432,42101000801
65987,65988,42101000803,Pennsylvania,PA,Philadelphia,3,2921.0,2921.0,2542.0,1822.0,2211.0,2178.0,0.233995207120849,636.0,0.21773365285861,731.0,0.250256761383088,151.0,0.069329660238751,47.0,0.025795828759605,1.0,0.000393391030685,16.0,0.005477576172544,594.0,0.203355015405683,9.271965479452048,43.0221437908497,0.54329262949025,30.0,0.4,1912.35043835066,1522.0,0.688376300316598,0.185986359351931,1.30289296084703,9.50170544573656,58.8925991104,1103.77897797553,16.37966449845943,13.571722013009245,20.82557343375556,19.421602191030463,18.95361177678877,21.059568640876407,20.591578226634716,19.65559739815132,18.95361177678877,22.229544676480657,21.76155426223896,23.165525504964048,37.0,38.0,42.0,71.0,61.0,2.0,3.0,73.0,70.0,58.0,89.0,83.0,81.0,90.0,88.0,84.0,81.0,95.0,93.0,99.0,58.0,55.0,65.0,48.0,51.0,63.0,68.0,65.0,62.0,66.0,66.0,72.0,4.0,4.0,5.0,8.0,1.0,7.0,1.0,8.0,8.0,6.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,37 %ile,38 %ile,42 %ile,71 %ile,61 %ile,2 %ile,3 %ile,73 %ile,70 %ile,58 %ile,89 %ile,83 %ile,81 %ile,90 %ile,88 %ile,84 %ile,81 %ile,95 %ile,93 %ile,99 %ile,58 %ile,55 %ile,65 %ile,48 %ile,51 %ile,63 %ile,68 %ile,65 %ile,62 %ile,66 %ile,66 %ile,72 %ile,0.0,152822.0,0.0,0.0,0.0,2194.478520804769,260343.7389393254,42101000803
65988,65989,42101000805,Pennsylvania,PA,Philadelphia,3,2642.0,2642.0,2289.0,1890.0,2238.0,2072.0,0.16445874337623,636.0,0.240726722180166,233.0,0.088190764572294,8.0,0.003861003861004,31.0,0.016402116402116,31.0,0.013543031891656,98.0,0.037093111279334,597.0,0.225965177895533,9.25013178082192,43.02899803921569,0.551445562906722,30.0,0.4,1838.43122306724,1483.0,0.662645218945487,0.199243579414938,1.54457177034845,10.5822859923507,41.5294790206,681.05630406611,11.347653292959858,9.53860711582133,14.801286903860683,13.650075700227076,13.321158213474618,14.801286903860683,14.307910673731996,13.978993186979537,13.978993186979537,15.788039364118063,14.965745647236917,16.281415594246756,20.0,41.0,9.0,4.0,53.0,6.0,23.0,81.0,69.0,58.0,90.0,83.0,81.0,90.0,87.0,85.0,85.0,96.0,91.0,99.0,46.0,42.0,54.0,36.0,38.0,52.0,55.0,54.0,52.0,56.0,56.0,59.0,3.0,5.0,1.0,1.0,1.0,6.0,3.0,9.0,7.0,6.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20 %ile,41 %ile,9 %ile,4 %ile,53 %ile,6 %ile,23 %ile,81 %ile,69 %ile,58 %ile,90 %ile,83 %ile,81 %ile,90 %ile,87 %ile,85 %ile,85 %ile,96 %ile,91 %ile,99 %ile,46 %ile,42 %ile,54 %ile,36 %ile,38 %ile,52 %ile,55 %ile,54 %ile,52 %ile,56 %ile,56 %ile,59 %ile,0.0,72237.0,0.0,0.0,0.0,1403.2831767035325,123061.54865397648,42101000805
65989,65990,42101000806,Pennsylvania,PA,Philadelphia,3,2149.0,2149.0,1885.0,1479.0,1696.0,1590.0,0.189855746859003,463.0,0.215449046067938,353.0,0.164262447650069,39.0,0.024528301886792,40.0,0.027045300878972,0.0,0.0,0.0,0.0,400.0,0.186133085155886,9.25013178082192,43.02899803921569,0.551445562906722,30.0,0.4,2937.79467840152,362.0,0.213443396226415,0.406972444715165,2.06365109269538,11.6750791351477,109.277296783,519.9573405576169,13.10004653327124,11.011633317822202,17.087017217310315,15.75802698929729,15.378315495579283,17.84644020474633,9.492787342950177,17.656584457887327,17.087017217310315,18.22615169846433,18.22615169846433,18.795718939041347,26.0,38.0,24.0,22.0,62.0,0.0,0.0,65.0,69.0,58.0,90.0,83.0,81.0,94.0,50.0,93.0,90.0,96.0,96.0,99.0,51.0,47.0,59.0,40.0,44.0,58.0,40.0,62.0,58.0,60.0,61.0,65.0,3.0,4.0,3.0,3.0,1.0,7.0,1.0,7.0,7.0,6.0,10.0,9.0,9.0,10.0,6.0,10.0,10.0,11.0,11.0,11.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,26 %ile,38 %ile,24 %ile,22 %ile,62 %ile,0 %ile,0 %ile,65 %ile,69 %ile,58 %ile,90 %ile,83 %ile,81 %ile,94 %ile,50 %ile,93 %ile,90 %ile,96 %ile,96 %ile,99 %ile,51 %ile,47 %ile,59 %ile,40 %ile,44 %ile,58 %ile,40 %ile,62 %ile,58 %ile,60 %ile,61 %ile,65 %ile,0.0,73208.0,0.0,0.0,0.0,1410.1469848033591,124713.301921482,42101000806
