Geo_FIPS,Geo_SL040_FIPS,Geo_SL050_FIPS,Geo_SL140_FIPS,Geo_GISJOIN,Geo_GISJOIN2,Geo_state,Geo_county,Geo_prefix,Geo_tract,Geo_suffix,Geo_SUMLEV,Geo_SL040_Name,Geo_SL050_Name,Geo_Name,Geo_LongName,Geo_QName,Geo_QName2,Geo_seq,Geo_NHGISST,Geo_NHGISCTY,Geo_areatotal,Geo_shape_area,Geo_shape_len,Geo_year,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,SE_T010_001,SE_T010_002,SE_T010_003,PCT_SE_T010_002,PCT_SE_T010_003,SE_T001_001
"4210100101000",42,101,"00101000","G42010100001A","42010100001A","42","101",,"1","A","140","Pennsylvania","Philadelphia","1A","Census Tract 1A","Census Tract 1A, Philadelphia County, Pennsylvania","Census Tract 1A, Philadelphia County, Pennsylvania","1","420","1010",0.2066221432,535148.893636,5256.197871,"1940",582,581,1,0,99.83,0.17,0,582,581,1,99.83,0.17,582
"4210100102000",42,101,"00102000","G42010100001B","42010100001B","42","101",,"1","B","140","Pennsylvania","Philadelphia","1B","Census Tract 1B","Census Tract 1B, Philadelphia County, Pennsylvania","Census Tract 1B, Philadelphia County, Pennsylvania","2","420","1010",0.229133398,593452.775714,3111.181482,"1940",16378,16172,199,7,98.74,1.22,0.04,16378,16172,206,98.74,1.26,16378
"4210100103000",42,101,"00103000","G42010100001C","42010100001C","42","101",,"1","C","140","Pennsylvania","Philadelphia","1C","Census Tract 1C","Census Tract 1C, Philadelphia County, Pennsylvania","Census Tract 1C, Philadelphia County, Pennsylvania","3","420","1010",0.2290678672,593283.051746,3262.227385,"1940",19667,19415,251,1,98.72,1.28,0.01,19667,19415,252,98.72,1.28,19667
"4210100201000",42,101,"00201000","G42010100002A","42010100002A","42","101",,"2","A","140","Pennsylvania","Philadelphia","2A","Census Tract 2A","Census Tract 2A, Philadelphia County, Pennsylvania","Census Tract 2A, Philadelphia County, Pennsylvania","4","420","1010",0.2186662088,566342.880133,4729.802246,"1940",9818,8147,1669,2,82.98,17,0.02,9818,8147,1671,82.98,17.02,9818
"4210100202000",42,101,"00202000","G42010100002B","42010100002B","42","101",,"2","B","140","Pennsylvania","Philadelphia","2B","Census Tract 2B","Census Tract 2B, Philadelphia County, Pennsylvania","Census Tract 2B, Philadelphia County, Pennsylvania","5","420","1010",0.1631524396,422562.878164,3687.348163,"1940",10876,10170,703,3,93.51,6.46,0.03,10876,10170,706,93.51,6.49,10876
"4210100203000",42,101,"00203000","G42010100002C","42010100002C","42","101",,"2","C","140","Pennsylvania","Philadelphia","2C","Census Tract 2C","Census Tract 2C, Philadelphia County, Pennsylvania","Census Tract 2C, Philadelphia County, Pennsylvania","6","420","1010",0.0439496196,113828.992029,1407.81926,"1940",1534,824,710,0,53.72,46.28,0,1534,824,710,53.72,46.28,1534
"4210100301000",42,101,"00301000","G42010100003A","42010100003A","42","101",,"3","A","140","Pennsylvania","Philadelphia","3A","Census Tract 3A","Census Tract 3A, Philadelphia County, Pennsylvania","Census Tract 3A, Philadelphia County, Pennsylvania","7","420","1010",0.1731926469,448566.895738,4329.499441,"1940",10776,9520,1253,3,88.34,11.63,0.03,10776,9520,1256,88.34,11.66,10776
"4210100302000",42,101,"00302000","G42010100003B","42010100003B","42","101",,"3","B","140","Pennsylvania","Philadelphia","3B","Census Tract 3B","Census Tract 3B, Philadelphia County, Pennsylvania","Census Tract 3B, Philadelphia County, Pennsylvania","8","420","1010",0.0352864581,91391.506942,1313.6337,"1940",2274,967,1306,1,42.52,57.43,0.04,2274,967,1307,42.52,57.48,2274
"4210100401000",42,101,"00401000","G42010100004A","42010100004A","42","101",,"4","A","140","Pennsylvania","Philadelphia","4A","Census Tract 4A","Census Tract 4A, Philadelphia County, Pennsylvania","Census Tract 4A, Philadelphia County, Pennsylvania","9","420","1010",0.1686456514,436790.231545,5012.820105,"1940",8588,7219,1367,2,84.06,15.92,0.02,8588,7219,1369,84.06,15.94,8588
"4210100402000",42,101,"00402000","G42010100004B","42010100004B","42","101",,"4","B","140","Pennsylvania","Philadelphia","4B","Census Tract 4B","Census Tract 4B, Philadelphia County, Pennsylvania","Census Tract 4B, Philadelphia County, Pennsylvania","10","420","1010",0.0363644072,94183.382119,1313.110178,"1940",2175,386,1787,2,17.75,82.16,0.09,2175,386,1789,17.75,82.25,2175
"4210100501000",42,101,"00501000","G42010100005A","42010100005A","42","101",,"5","A","140","Pennsylvania","Philadelphia","5A","Census Tract 5A","Census Tract 5A, Philadelphia County, Pennsylvania","Census Tract 5A, Philadelphia County, Pennsylvania","11","420","1010",0.3539696428,916777.165291,4968.536926,"1940",7142,6371,759,12,89.2,10.63,0.17,7142,6371,771,89.2,10.8,7142
"4210100601000",42,101,"00601000","G42010100006A","42010100006A","42","101",,"6","A","140","Pennsylvania","Philadelphia","6A","Census Tract 6A","Census Tract 6A, Philadelphia County, Pennsylvania","Census Tract 6A, Philadelphia County, Pennsylvania","12","420","1010",0.3435860073,889883.672818,5457.300999,"1940",835,627,207,1,75.09,24.79,0.12,835,627,208,75.09,24.91,835
"4210100701000",42,101,"00701000","G42010100007A","42010100007A","42","101",,"7","A","140","Pennsylvania","Philadelphia","7A","Census Tract 7A","Census Tract 7A, Philadelphia County, Pennsylvania","Census Tract 7A, Philadelphia County, Pennsylvania","13","420","1010",0.0917634647,237666.282194,3090.704771,"1940",5015,4506,493,16,89.85,9.83,0.32,5015,4506,509,89.85,10.15,5015
"4210100702000",42,101,"00702000","G42010100007B","42010100007B","42","101",,"7","B","140","Pennsylvania","Philadelphia","7B","Census Tract 7B","Census Tract 7B, Philadelphia County, Pennsylvania","Census Tract 7B, Philadelphia County, Pennsylvania","14","420","1010",0.0946286084,245086.97039,3098.928538,"1940",5412,1493,3906,13,27.59,72.17,0.24,5412,1493,3919,27.59,72.41,5412
"4210100703000",42,101,"00703000","G42010100007C","42010100007C","42","101",,"7","C","140","Pennsylvania","Philadelphia","7C","Census Tract 7C","Census Tract 7C, Philadelphia County, Pennsylvania","Census Tract 7C, Philadelphia County, Pennsylvania","15","420","1010",0.0965218253,249990.379609,3054.526401,"1940",3607,3404,196,7,94.37,5.43,0.19,3607,3404,203,94.37,5.63,3607
"4210100704000",42,101,"00704000","G42010100007D","42010100007D","42","101",,"7","D","140","Pennsylvania","Philadelphia","7D","Census Tract 7D","Census Tract 7D, Philadelphia County, Pennsylvania","Census Tract 7D, Philadelphia County, Pennsylvania","16","420","1010",0.1107690843,286890.610896,3384.34869,"1940",5884,2276,3600,8,38.68,61.18,0.14,5884,2276,3608,38.68,61.32,5884
"4210100801000",42,101,"00801000","G42010100008A","42010100008A","42","101",,"8","A","140","Pennsylvania","Philadelphia","8A","Census Tract 8A","Census Tract 8A, Philadelphia County, Pennsylvania","Census Tract 8A, Philadelphia County, Pennsylvania","17","420","1010",0.1625354134,420964.787686,5228.315976,"1940",2350,2294,55,1,97.62,2.34,0.04,2350,2294,56,97.62,2.38,2350
"4210100802000",42,101,"00802000","G42010100008B","42010100008B","42","101",,"8","B","140","Pennsylvania","Philadelphia","8B","Census Tract 8B","Census Tract 8B, Philadelphia County, Pennsylvania","Census Tract 8B, Philadelphia County, Pennsylvania","18","420","1010",0.2552447579,661080.8873,5534.140478,"1940",8255,7778,465,12,94.22,5.63,0.15,8255,7778,477,94.22,5.78,8255
"4210100901000",42,101,"00901000","G42010100009A","42010100009A","42","101",,"9","A","140","Pennsylvania","Philadelphia","9A","Census Tract 9A","Census Tract 9A, Philadelphia County, Pennsylvania","Census Tract 9A, Philadelphia County, Pennsylvania","19","420","1010",0.2005195275,519343.191382,3352.393949,"1940",243,234,9,0,96.3,3.7,0,243,234,9,96.3,3.7,243
"4210100902000",42,101,"00902000","G42010100009B","42010100009B","42","101",,"9","B","140","Pennsylvania","Philadelphia","9B","Census Tract 9B","Census Tract 9B, Philadelphia County, Pennsylvania","Census Tract 9B, Philadelphia County, Pennsylvania","20","420","1010",0.1717061895,444716.988857,3047.446399,"1940",985,973,12,0,98.78,1.22,0,985,973,12,98.78,1.22,985
"4210101001000",42,101,"01001000","G42010100010A","42010100010A","42","101",,"10","A","140","Pennsylvania","Philadelphia","10A","Census Tract 10A","Census Tract 10A, Philadelphia County, Pennsylvania","Census Tract 10A, Philadelphia County, Pennsylvania","21","420","1010",0.1798794172,465885.551222,3121.600361,"1940",4367,3783,314,270,86.63,7.19,6.18,4367,3783,584,86.63,13.37,4367
